,PWH,QOIL
0,0.3,0.162084
1,0.4,0.15407400000000002
2,0.5,0.145148
3,0.6,0.13575900000000002
4,0.7000000000000001,0.12534700000000001
5,0.75,0.119835
6,0.8,0.11434799999999999
7,0.85,0.108523
8,0.9,0.10233800000000001
9,0.9500000000000001,0.0959957
10,1.0,0.0897229
11,1.05,0.0831232
12,1.1,0.07626710000000002
13,1.1500000000000001,0.06903910000000002
14,1.2,0.0615179
15,1.25,0.0538773
16,1.3,0.045765900000000005
17,1.35,0.0370701
18,1.4000000000000001,0.0274031
19,1.42,0.0233208
20,1.44,0.0184855
21,1.45,0.0159181
22,1.459,0.013603
23,1.51174,0.0
